brain_roi	correlation
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.708678941535895
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.7519561702463442
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.801152364125727
Temporal	0.811741881357896
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.7825735556200104
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.8158289313922296
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.7188759815001867
Temporal	0.787861414708065
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.7104873420533545
Temporal	0.0
Temporal	0.0
Temporal	0.813710126009728
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
Temporal	0.0
